Name,Type,Laion Aesthetic Count,Birth-Death
John Martin,Landscape Artist,329,1789-1854
Alexandre Cabanel,Portrait Artist,326,1823-1889
Arthur Hacker,Portrait Artist,326,1858-1919
Arthur Rackham,Illustrator,326,1867-1939
Henri Fantin Latour,Still Life,324,1836-1904
David Teniers the Younger,Traditional Artist,313,1610-1690
Vittorio Matteo Corcos,Portrait Artist,306,1859-1933
Worthington Whittredge,Landscape Artist,304,1820-1910
Francisco De Goya,Traditional Artist,294,1746-1828
J.C. Leyendecker,Illustrator,293,1874-1951
Albert Goodwin,Landscape Artist,291,1845-1932
Ferdinand Hodler,Traditional Artist,289,1853-1918
Kitagawa Utamaro,Illustrator,288,?-1806
Carlo Crivelli,Portrait Artist,286,1435-1495
Edmund Leighton,Portrait Artist,285,1852-1922
Diego Velázquez,Traditional Artist,283,1599-1660
Bernardo Bellotto,,282,1722-1780
John Singleton Copley,Portrait Artist,281,1738-1815
Hiroshi Yoshida,Illustrator,279,1876-1950
Horace Vernet,Concept Artist,279,1789-1863
Walter Crane,Illustrator,278,1845-1915
Adrianus Eversen,Landscape Artist,268,1818-1897
Abbott Fuller Graves,Landscape Artist,261,1859-1936
Arthur Wardle,Traditional Artist,244,1860-1949
Ernst Ludwig Kirchner,Portrait Artist,242,1880-1938
Andrea Mantegna,Traditional Artist,240,1431-1506
Boris Kustodiev,,240,1878-1927
Carl Holsoe,Portrait Artist,238,1863-1935
Charles-Francois Daubigny,Landscape Artist,237,1817-1878
Élisabeth Vigée Le Brun,Portrait Artist,234,1755-1832
Ary Scheffer,Illustrator,233,1795-1858
Coles Phillips,Illustrator,233,1880-1927
Francis Bacon,Portrait Artist,232,1561-1626
Akseli Gallen-Kallela,Landscape Artist,228,1865-1931
Sofonisba Anguissola,Portrait Artist,222,?-1625
James Abbott McNeill Whistler,Traditional Artist,220,1834-1903
Pierre Bonnard,Still Life,219,1867-1947
Gerda Wegener,Portrait Artist,216,1886-1940
Helene Schjerfbeck,Traditional Artist,216,1862-1946
Paolo Veronese,Portrait Artist,215,1528-1588
Anne-Louis Girodet,Portrait Artist,214,1767-1824
Pieter Bruegel The Elder,Landscape Artist,214,?-1569
Gaston Bussière,Portrait Artist,211,1862-1928
Howard Pyle,Portrait Artist,210,1853-1911
Edwin Henry Landseer,Traditional Artist,209,1802-1873
Edmund Dulac,Traditional Artist,202,1882-1953
Artemisia Gentileschi,Portrait Artist,199,1593-1653
Bartolome Esteban Murillo,,197,1617-1682
Raja Ravi Varma,Portrait Artist,197,1848-1906
Honoré Daumier,Portrait Artist,196,1808-1879
Ernst Haeckel,Illustrator,193,1834-1919
Marie Spartali Stillman,Portrait Artist,191,1844-1927
Albert Marquet,Landscape Artist,190,1875-1947
Louis Icart,Illustrator,179,1888-1950
Frederick McCubbin,Landscape Artist,176,1855-1917
Alson Skinner Clark,Traditional Artist,170,1876-1949
Hyacinthe Rigaud,Portrait Artist,170,1659-1743
Louis Janmot,Portrait Artist,170,1814-1892
Mikhail Nesterov,Landscape Artist,169,1862-1942
Konstantin Korovin,Landscape Artist,167,1861-1939
Thomas Allom,Traditional Artist,162,1804-1872
Piet Mondrian,Misc,159,1872-1944
John James Audubon,Traditional Artist,158,1785-1851
Adolph Menzel,Traditional Artist,157,1815-1905
Kazimir Malevich,Graphic Designer,156,1879-1935
Paul Klee,Traditional Artist,156,1879-1940
Eugene von Guerard,Landscape Artist,153,1811-1901
Michelangelo Merisi Da Caravaggio,Portrait Artist,153,1571-1610
Jean Fouquet,Traditional Artist,152,?-1481
Carl Gustav Carus,Landscape Artist,150,1789-1869
Simeon Solomon,Portrait Artist,148,1840-1905
Annibale Carracci,Portrait Artist,147,1560-1609
,Traditional Artist,147,1891-1796
Frederic Church,Landscape Artist,145,1826-1900
Kate Greenaway,Illustrator,143,1846-1901
Théodore Géricault,Traditional Artist,140,1791-1824
Pieter de Hooch,Portrait Artist,139,1629-1684
Edwin Austin Abbey,Traditional Artist,138,1852-1911
Filippino Lippi,Traditional Artist,137,1457-1504
JC Leyendecker,Illustrator,131,1874-1951
Dora Carrington,Landscape Artist,129,1893-1932
Francis Coates Jones,Landscape Artist,128,1857-1932
Albert Joseph Moore,Traditional Artist,127,1841-1893
Jean-Antoine Watteau,Landscape Artist,123,1684-1721
Marsden Hartley,Misc,121,1877-1943
Franz Marc,Landscape Artist,120,1880-1916
Alexej von Jawlensky,Portrait Artist,119,1864-1941
John La Farge,Traditional Artist,119,1835-1910
NC Wyeth,Concept Artist,117,1882-1945
Boris Grigoriev,Portrait Artist,115,1886-1939
Jacob van Ruisdael,Landscape Artist,114,1628-1682
Ivan Bilibin,Illustrator,113,1876-1942
Umberto Boccioni,Landscape Artist,111,1882-1916
Viktor Vasnetsov,Traditional Artist,111,1848-1926
Juan Gris,Traditional Artist,110,1887-1927
William Etty,Portrait Artist,109,1787-1849
Anton Raphael Mengs,Portrait Artist,108,1728-1779
John French Sloan,Traditional Artist,108,1871-1951
Pierre Puvis de Chavannes,Landscape Artist,108,1824-1898
James Ensor,Traditional Artist,106,1860-1949
John Bauer,Illustrator,104,1882-1918
Paul Ranson,Landscape Artist,103,1861-1909
Alessandro Allori,Portrait Artist,102,1535-1607
Alfred Parsons,Landscape Artist,102,1847-1920
John Frederick Kensett,Landscape Artist,102,1816-1872
Alfred Augustus Glendening,Landscape Artist,97,1840-1921
Howard Chandler Christy,Portrait Artist,96,1872-1952
Edwin Deakin,Landscape Artist,94,1838-1923
William Hogarth,Traditional Artist,94,1697-1764
Aubrey Beardsley,Illustrator,93,1872-1878
Clara Peeters,Still Life,92,1594-?
Paul Gustav Fischer,Traditional Artist,92,1860-1934
Abraham Pether,Landscape Artist,91,1756-1812
Koson Ohara,Landscape Artist,91,1877-1945
